Name,ISIN,companyID,OrganizationID,Year,description,desc_simpl_en,desc_simpl_no,account_number,account_type,Value,CorporateAccountValue,CompanyAccountValue,source,Corporation,ID
NEL,NO0010081235,7795,979938799,2001,Lønnskostnader,"Salaries, wages, social security and other personnel related expenses","Lønn, honorarer, andre personalkostnader?.",78,RESULTATREGNSKAP,2829000.0,,2829000.0,Brønnøysund,0,140982
NEL,NO0010081235,7795,979938799,2001,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140988
NEL,NO0010081235,7795,979938799,2001,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-6701000.0,,-6701000.0,Brønnøysund,0,140981
NEL,NO0010081235,7795,979938799,2001,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,6701000.0,,6701000.0,Brønnøysund,0,161823
NEL,NO0010081235,7795,979938799,2001,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,-8286000.0,,-8286000.0,Brønnøysund,0,161827
NEL,NO0010081235,7795,979938799,2001,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,2115000.0,,2115000.0,Brønnøysund,0,161821
NEL,NO0010081235,7795,979938799,2001,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,580000.0,,580000.0,Brønnøysund,0,161820
NEL,NO0010081235,7795,979938799,2001,Andre omløpsmidler,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161819
NEL,NO0010081235,7795,979938799,2001,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140989
NEL,NO0010081235,7795,979938799,2001,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,933000.0,,933000.0,Brønnøysund,0,140987
NEL,NO0010081235,7795,979938799,2001,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,23693000.0,,23693000.0,Brønnøysund,0,140986
NEL,NO0010081235,7795,979938799,2001,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,933000.0,,933000.0,Brønnøysund,0,140985
NEL,NO0010081235,7795,979938799,2001,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,0.0,,0.0,Brønnøysund,0,161822
NEL,NO0010081235,7795,979938799,2002,Sum varige driftsmidler,Fixed assets,Varige driftsmidler,332,BALANSEREGNSKAP,2565000.0,,2565000.0,Brønnøysund,0,141000
NEL,NO0010081235,7795,979938799,2002,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-9104000.0,,-9104000.0,Brønnøysund,0,141001
NEL,NO0010081235,7795,979938799,2002,Lønnskostnader,"Salaries, wages, social security and other personnel related expenses","Lønn, honorarer, andre personalkostnader?.",78,RESULTATREGNSKAP,5619000.0,,5619000.0,Brønnøysund,0,161830
NEL,NO0010081235,7795,979938799,2002,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161838
NEL,NO0010081235,7795,979938799,2002,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161837
NEL,NO0010081235,7795,979938799,2002,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,8140000.0,,8140000.0,Brønnøysund,0,161836
NEL,NO0010081235,7795,979938799,2002,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161835
NEL,NO0010081235,7795,979938799,2002,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,1284000.0,,1284000.0,Brønnøysund,0,161834
NEL,NO0010081235,7795,979938799,2002,Sum fordringer,Other short-term receivables,Andre kortsiktige fordringer,304,BALANSEREGNSKAP,276000.0,,276000.0,Brønnøysund,0,161833
NEL,NO0010081235,7795,979938799,2002,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,10378000.0,,10378000.0,Brønnøysund,0,161832
NEL,NO0010081235,7795,979938799,2002,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,660000.0,,660000.0,Brønnøysund,0,161831
NEL,NO0010081235,7795,979938799,2002,Andre omløpsmidler,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140990
NEL,NO0010081235,7795,979938799,2002,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-9718000.0,,-9718000.0,Brønnøysund,0,140991
NEL,NO0010081235,7795,979938799,2002,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,614000.0,,614000.0,Brønnøysund,0,140992
NEL,NO0010081235,7795,979938799,2002,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,2565000.0,,2565000.0,Brønnøysund,0,140993
NEL,NO0010081235,7795,979938799,2002,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,9422000.0,,9422000.0,Brønnøysund,0,140994
NEL,NO0010081235,7795,979938799,2002,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,10706000.0,,10706000.0,Brønnøysund,0,140995
NEL,NO0010081235,7795,979938799,2002,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,10705000.0,,10705000.0,Brønnøysund,0,140996
NEL,NO0010081235,7795,979938799,2002,Sum immaterielle anleggsmidler,Other intangible assets,Andre immatrielle eiendeler,323,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,140997
NEL,NO0010081235,7795,979938799,2002,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,9422000.0,,9422000.0,Brønnøysund,0,140998
NEL,NO0010081235,7795,979938799,2002,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,1284000.0,,1284000.0,Brønnøysund,0,140999
NEL,NO0010081235,7795,979938799,2003,Sum Kasse/Bank/Post,Cash and deposits,"Kasse, bank, post",295,BALANSEREGNSKAP,4277000.0,,4277000.0,Brønnøysund,0,161850
NEL,NO0010081235,7795,979938799,2003,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,7447000.0,,7447000.0,Brønnøysund,0,161846
NEL,NO0010081235,7795,979938799,2003,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,6840000.0,,6840000.0,Brønnøysund,0,161845
NEL,NO0010081235,7795,979938799,2003,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,37000.0,,37000.0,Brønnøysund,0,161844
NEL,NO0010081235,7795,979938799,2003,Sum annen rentekostnad,Interest expenses,Rentekostnader,543,RESULTATREGNSKAP,0.0,,0.0,Brønnøysund,0,161843
NEL,NO0010081235,7795,979938799,2003,Sum annen renteinntekt,Interest income,Renteinntekter,229,RESULTATREGNSKAP,157000.0,,157000.0,Brønnøysund,0,161842
NEL,NO0010081235,7795,979938799,2003,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,141010
NEL,NO0010081235,7795,979938799,2003,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,2305000.0,,2305000.0,Brønnøysund,0,161841
NEL,NO0010081235,7795,979938799,2003,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,157000.0,,157000.0,Brønnøysund,0,161840
NEL,NO0010081235,7795,979938799,2003,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-6645000.0,,-6645000.0,Brønnøysund,0,161853
NEL,NO0010081235,7795,979938799,2003,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161852
NEL,NO0010081235,7795,979938799,2003,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,1135000.0,,1135000.0,Brønnøysund,0,161851
NEL,NO0010081235,7795,979938799,2003,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-6803000.0,,-6803000.0,Brønnøysund,0,161839
NEL,NO0010081235,7795,979938799,2003,Sum immaterielle anleggsmidler,Other intangible assets,Andre immatrielle eiendeler,323,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161849
NEL,NO0010081235,7795,979938799,2003,Sum fordringer,Other short-term receivables,Andre kortsiktige fordringer,304,BALANSEREGNSKAP,2001000.0,,2001000.0,Brønnøysund,0,161848
NEL,NO0010081235,7795,979938799,2003,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,141009
NEL,NO0010081235,7795,979938799,2003,Sum investeringer,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,141007
NEL,NO0010081235,7795,979938799,2003,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,6277000.0,,6277000.0,Brønnøysund,0,141008
NEL,NO0010081235,7795,979938799,2003,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,7447000.0,,7447000.0,Brønnøysund,0,141006
NEL,NO0010081235,7795,979938799,2003,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,1135000.0,,1135000.0,Brønnøysund,0,141005
NEL,NO0010081235,7795,979938799,2003,Sum finansielle anleggsmidler,Other capital assets,Andre anleggsmidler,511,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,141004
NEL,NO0010081235,7795,979938799,2003,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,8582000.0,,8582000.0,Brønnøysund,0,141003
NEL,NO0010081235,7795,979938799,2003,Lønnskostnader,"Salaries, wages, social security and other personnel related expenses","Lønn, honorarer, andre personalkostnader?.",78,RESULTATREGNSKAP,4895000.0,,4895000.0,Brønnøysund,0,141002
NEL,NO0010081235,7795,979938799,2003,Sum varige driftsmidler,Fixed assets,Varige driftsmidler,332,BALANSEREGNSKAP,2305000.0,,2305000.0,Brønnøysund,0,141011
NEL,NO0010081235,7795,979938799,2003,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,8582000.0,,8582000.0,Brønnøysund,0,161847
NEL,NO0010081235,7795,979938799,2004,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,2894000.0,,2894000.0,Brønnøysund,0,161862
NEL,NO0010081235,7795,979938799,2004,Sum immaterielle anleggsmidler,Other intangible assets,Andre immatrielle eiendeler,323,BALANSEREGNSKAP,477000.0,,477000.0,Brønnøysund,0,141020
NEL,NO0010081235,7795,979938799,2004,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,3541000.0,,3541000.0,Brønnøysund,0,141019
NEL,NO0010081235,7795,979938799,2004,Sum fordringer,Other short-term receivables,Andre kortsiktige fordringer,304,BALANSEREGNSKAP,2333000.0,,2333000.0,Brønnøysund,0,141018
NEL,NO0010081235,7795,979938799,2004,Sum egenkapital og gjeld,Total liabilities and equity,Sum gjeld og egenkapital,374,BALANSEREGNSKAP,16348000.0,,16348000.0,Brønnøysund,0,141017
NEL,NO0010081235,7795,979938799,2004,Sum egenkapital,Total equity,Sum Egenkapital,223,BALANSEREGNSKAP,12806000.0,,12806000.0,Brønnøysund,0,141016
NEL,NO0010081235,7795,979938799,2004,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,10810000.0,,10810000.0,Brønnøysund,0,141015
NEL,NO0010081235,7795,979938799,2004,Sum Kasse/Bank/Post,Cash and deposits,"Kasse, bank, post",295,BALANSEREGNSKAP,11448000.0,,11448000.0,Brønnøysund,0,161861
NEL,NO0010081235,7795,979938799,2004,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,12806000.0,,12806000.0,Brønnøysund,0,161860
NEL,NO0010081235,7795,979938799,2004,Sum finansielle anleggsmidler,Other capital assets,Andre anleggsmidler,511,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161859
NEL,NO0010081235,7795,979938799,2004,Sum eiendeler,Total assets,Sum eiendeler,334,BALANSEREGNSKAP,16348000.0,,16348000.0,Brønnøysund,0,161858
NEL,NO0010081235,7795,979938799,2004,Sum driftsinntekter,Total income,Sum inntekter,18,RESULTATREGNSKAP,55000.0,,55000.0,Brønnøysund,0,161857
NEL,NO0010081235,7795,979938799,2004,Sum annen renteinntekt,Interest income,Renteinntekter,229,RESULTATREGNSKAP,246000.0,,246000.0,Brønnøysund,0,161855
NEL,NO0010081235,7795,979938799,2004,Lønnskostnader,"Salaries, wages, social security and other personnel related expenses","Lønn, honorarer, andre personalkostnader?.",78,RESULTATREGNSKAP,4810000.0,,4810000.0,Brønnøysund,0,161854
NEL,NO0010081235,7795,979938799,2004,Sum anleggsmidler,Total capital assets,Sum anleggsmidler,333,BALANSEREGNSKAP,2567000.0,,2567000.0,Brønnøysund,0,141014
NEL,NO0010081235,7795,979938799,2004,Netto finans,Other financial income/expenses,Andre finansinntekter/kostnader,578,RESULTATREGNSKAP,227000.0,,227000.0,Brønnøysund,0,141013
NEL,NO0010081235,7795,979938799,2004,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-10755000.0,,-10755000.0,Brønnøysund,0,141012
NEL,NO0010081235,7795,979938799,2004,Sum annen rentekostnad,Interest expenses,Rentekostnader,543,RESULTATREGNSKAP,3000.0,,3000.0,Brønnøysund,0,161856
NEL,NO0010081235,7795,979938799,2004,Sum investeringer,Other current assets,Andre omløpsmidler,151,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,141021
NEL,NO0010081235,7795,979938799,2004,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-10528000.0,,-10528000.0,Brønnøysund,0,161867
NEL,NO0010081235,7795,979938799,2004,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161866
NEL,NO0010081235,7795,979938799,2004,Sum opptjent egenkapital,Other retained earnings,Annen opptjent egenkapital,738,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161865
NEL,NO0010081235,7795,979938799,2004,Sum omløpsmidler,Total short-term assets,Sum omløpsmidler,313,BALANSEREGNSKAP,13781000.0,,13781000.0,Brønnøysund,0,161864
NEL,NO0010081235,7795,979938799,2004,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,647000.0,,647000.0,Brønnøysund,0,161863
